iter	RMSE
305	774.2515074
306	772.1195034
307	771.4389482
308	769.8803736
309	768.0958061
310	766.7595665
311	765.979508
312	764.4699385
313	761.5757892
314	759.3402368
315	759.0531186
316	757.6345192
317	755.5981783
318	754.1757867
319	750.8343246
320	747.5243163
321	745.6417898
322	743.6135546
323	740.4104721
324	738.9260386
325	735.2219976
326	732.448981
327	730.6691119
328	725.5132451
329	722.4814789
330	718.0250596
331	715.9919486
332	715.1325867
333	712.5808772
334	710.5864728
335	707.6083129
336	705.4570215
337	703.6730061
338	701.82084
339	701.4482031
340	699.9895274
341	696.9991355
342	696.0717398
343	690.2304066
344	688.959413
345	687.4083889
346	684.4988906
347	681.7143849
348	678.7373087
349	677.290037
350	674.0579371
351	671.9363373
352	669.904802
353	669.0768127
354	667.0685113
355	664.0651237
356	659.6905696
357	657.7860956
358	654.519752
359	652.2223402
360	650.7557227
361	649.4272735
362	648.8910276
363	647.4265605
364	647.1654041
365	646.142627
366	643.858003
367	641.1690716
368	638.169598
369	636.5043877
370	634.2368135
371	630.7979256
372	628.6207257
373	626.0825961
374	624.0713287
375	623.1651809
376	620.7403383
377	619.5036881
378	617.0569008
379	614.8953875
380	610.8423076
381	608.576122
382	606.2131755
383	604.4399369
384	602.3567037
385	600.5495588
386	599.4453966
387	598.6918523
388	596.9601233
389	595.3470875
390	594.3644379
391	593.3794179
392	592.045721
393	591.3125874
394	590.0833676
395	588.7509627
396	588.1093644
397	585.6504465
398	581.9580624
399	581.5602844
400	580.5837466
401	578.5871844
402	574.8564884
403	571.661145
404	569.8445983
405	566.2952344
406	562.9961086
407	561.3584169
408	560.5901485
409	559.1812931
410	557.8201453
411	555.1893044
412	554.2757219
413	553.0130191
414	551.8934033
415	550.3297696
416	548.8238018
417	546.0010794
418	543.8978789
419	542.752919
420	541.4887411
421	540.5020003
422	539.1838765
423	536.4740935
424	534.4659389
425	532.4253415
426	531.0481569
427	527.9282418
428	526.6580641
429	524.1230489
430	523.5367343
431	521.4798412
432	519.0685043
433	517.2452528
434	516.2335422
435	512.6194443
436	511.7726742
437	510.0067424
438	507.8176892
439	506.8600381
440	506.2571077
441	504.9518975
442	504.0352247
443	502.8206653
444	501.2776929
445	500.214469
446	499.2621023
447	498.3640247
448	496.0944972
449	495.4049597
450	494.8655314
451	493.3053009
452	492.452002
453	491.1528271
454	489.3905558
455	487.6609833
456	485.2246224
457	484.1333776
458	483.6187987
459	482.9606577
460	481.4833201
461	480.2514729
462	479.8288395
463	478.1440182
464	477.6188291
465	476.6078776
466	475.7693297
467	475.054196
468	474.1042929
469	472.6374779
470	471.6000685
471	471.2180391
472	470.1028401
473	468.7309426
474	466.6589808
475	465.1258632
476	464.4682459
477	462.6187994
478	460.685601
479	459.1697219
480	456.6681892
481	454.6354836
482	453.6783187
483	452.0071928
484	450.9967443
485	448.256573
486	446.6355043
487	444.9406153
488	443.9702152
489	443.1893202
490	442.6099274
491	440.4242037
492	439.0480319
493	437.1148214
494	436.3461775
495	435.7515506
496	435.1844826
497	433.2273041
498	432.7521208
499	432.1602167
500	430.5447411
501	429.4288262
502	427.0772258
503	426.197479
504	425.1292582
505	423.9078156
506	422.1592411
507	421.06288
508	420.3222008
509	419.6855932
510	419.3310305
511	418.3001967
512	417.4397786
513	415.7435296
514	414.1671421
515	412.7209764
516	411.5276026
517	410.3613057
518	408.8118312
519	408.0626196
520	407.1499689
521	405.2592845
522	403.2843448
523	401.4636648
524	400.3061908
525	399.1339115
526	397.441627
527	396.3298262
528	396.0707559
529	395.3964413
530	393.2678512
531	392.7753703
532	392.2207114
533	391.2668564
534	389.8116517
535	389.0591657
536	388.4277962
537	386.8695082
538	385.6132648
539	384.9166988
540	384.2329433
541	382.5910819
542	380.5705758
543	379.4084346
544	378.4968306
545	377.0149327
546	376.0588834
547	375.1989114
548	372.9163888
549	371.9692379
550	371.3889411
551	370.7323514
552	369.6588487
553	368.1035629
554	366.9400326
555	366.3547249
556	365.8515012
557	365.4363793
558	364.573393
559	363.9055082
560	363.6466888
561	362.6353073
562	361.8362168
563	361.1799745
564	360.2575725
565	359.0592337
566	358.5557678
567	357.343982
568	356.2722573
569	354.8393685
570	353.9323227
571	353.6017026
572	352.6700765
573	351.3938993
574	350.6579227
575	349.0198993
576	347.6314227
577	346.8105011
578	346.3484581
579	345.032264
580	344.1872547
581	343.4259497
582	342.0866722
583	340.8055445
584	340.3722569
585	339.7388148
586	338.7838917
587	338.5331782
588	338.3127929
589	338.2185046
590	336.8541308
591	335.8626934
592	334.5829067
593	333.5347864
594	332.6768688
595	331.6270463
596	330.8291363
597	330.4355289
598	329.3787383
599	328.8151379
600	327.2034446
601	326.5163881
602	324.8620966
603	324.4166093
604	323.1747766
605	322.0561499
606	321.3989295
607	320.4204975
608	319.7832475
609	319.1523066
610	318.4258889
611	317.6826569
612	317.1290081
613	316.6889174
614	316.1873321
615	314.8053262
616	314.0747741
617	312.9467227
618	312.5540968
619	312.0039614
620	311.0033357
621	310.3274358
622	309.0129602
623	307.9891312
624	306.8753557
625	306.0650208
626	304.8896712
627	303.6456522
628	302.1837152
629	301.7899437
630	301.4124511
631	300.9367619
632	300.2642718
633	299.8208156
634	299.2136653
635	298.9206397
636	298.2174209
637	297.5659296
638	297.2080274
639	295.81432
640	294.4907104
641	293.0843091
642	292.5379598
643	291.6293711
644	291.2604718
645	290.6037808
646	290.2950805
647	289.2954311
648	288.8947293
649	288.2828383
650	287.2164234
651	286.2536403
652	285.8975188
653	285.1188902
654	284.6063519
655	283.7726849
656	283.4588528
657	282.99049
658	281.9779372
659	280.9985958
660	280.644091
661	279.4473981
662	279.0996111
663	278.5614737
664	277.6169897
665	276.955448
666	276.1751175
667	275.5301118
668	274.7953308
669	274.3505257
670	273.5725688
671	272.4971865
672	272.0899243
673	271.5732166
674	270.047179
675	269.781074
676	269.5693036
677	269.0016347
678	267.9351388
679	267.6211846
680	266.8524854
681	265.7591475
682	265.151175
683	263.7887503
684	262.9606407
685	262.2246802
686	261.7277073
687	261.2279469
688	260.5426986
689	259.4231806
690	258.9773947
691	258.4973935
692	257.7429191
693	257.0320982
694	255.6392648
695	255.0277855
696	254.583177
697	254.0845845
698	253.7214809
699	253.4074977
700	252.846002
701	252.0682769
702	251.6841521
703	251.0997898
704	250.307781
705	249.0382249
706	248.1206188
707	247.6939066
708	247.3980361
709	246.7146791
710	246.1912428
711	245.4094273
712	244.5497088
713	243.9788404
714	243.3844965
715	242.6402775
716	242.1150969
717	240.9788676
718	239.9940863
719	239.044845
720	238.5927481
721	238.32883
722	237.8589917
723	237.5329226
724	236.6335553
725	236.0415831
726	235.3977384
727	234.7286541
728	233.9655589
729	233.7571194
730	232.969748
731	232.6758953
732	231.7354029
733	231.4280052
734	230.7597469
735	230.6402085
736	230.2539945
737	229.561616
738	229.2124719
739	229.1000799
740	228.507998
741	227.8369862
742	227.6569419
743	226.6852188
744	226.2947061
745	225.5938208
746	224.8890056
747	224.3011853
748	223.6046322
749	223.2801722
750	222.458343
751	222.1677514
752	221.9190154
753	220.7951316
754	220.4490993
755	220.1002292
756	219.5348799
757	219.2838666
758	218.4923899
759	217.8163906
760	217.1784481
761	216.4623102
762	216.1401611
763	215.660178
764	214.5270845
765	213.6464391
766	213.4308642
767	213.2989031
768	212.762973
769	212.3141715
770	212.0467472
771	211.8264765
772	211.4746675
773	210.4607452
774	210.1156887
775	209.473346
776	209.1461727
777	208.4544788
778	207.9471244
779	207.2774823
780	206.879105
781	206.1409618
782	205.7023128
783	205.3884819
784	204.9959878
785	204.5959566
786	204.1823732
787	203.5847161
788	202.8069474
789	202.4895546
790	201.968883
791	201.5067151
792	200.5849618
793	200.3058335
794	199.8370368
795	199.5783533
796	199.2335053
797	198.6877785
798	198.0167622
799	197.4849105
